1498575434.6 {'correction_signal': 2.4569, 'message': 'ok', 'error_signal': -0.0119}
1498575439.15 {'correction_signal': 2.4456, 'message': 'ok', 'error_signal': -0.0136}
1498575443.69 {'correction_signal': 2.4338, 'message': 'ok', 'error_signal': -0.0119}
1498575448.22 {'correction_signal': 2.4257, 'message': 'ok', 'error_signal': -0.0317}
1498575452.76 {'correction_signal': 2.4183, 'message': 'ok', 'error_signal': 0.0082}
1498575457.29 {'correction_signal': 2.4065, 'message': 'ok', 'error_signal': -0.0037}
1498575461.82 {'correction_signal': 2.4001, 'message': 'ok', 'error_signal': -0.0055}
1498575466.36 {'correction_signal': 2.3969, 'message': 'ok', 'error_signal': -0.0043}
1498575470.88 {'correction_signal': 2.3844, 'message': 'ok', 'error_signal': -0.0131}
1498575475.41 {'correction_signal': 2.378, 'message': 'ok', 'error_signal': 0.0107}
1498575479.95 {'correction_signal': 2.376, 'message': 'ok', 'error_signal': -0.0049}
1498575484.48 {'correction_signal': 2.3682, 'message': 'ok', 'error_signal': -0.02}
1498575489.0 {'correction_signal': 2.3618, 'message': 'ok', 'error_signal': -0.0182}
1498575493.52 {'correction_signal': 2.3554, 'message': 'ok', 'error_signal': -0.0105}
1498575498.05 {'correction_signal': 2.3522, 'message': 'ok', 'error_signal': -0.0128}
1498575502.57 {'correction_signal': 2.3445, 'message': 'ok', 'error_signal': -0.0095}
1498575507.09 {'correction_signal': 2.3412, 'message': 'ok', 'error_signal': -0.0021}
1498575511.62 {'correction_signal': 2.3373, 'message': 'ok', 'error_signal': -0.0035}
1498575516.15 {'correction_signal': 2.3334, 'message': 'ok', 'error_signal': -0.0183}
1498575520.67 {'correction_signal': 2.328, 'message': 'ok', 'error_signal': -0.0168}
1498575525.19 {'correction_signal': 2.3219, 'message': 'ok', 'error_signal': -0.0098}
1498575529.72 {'correction_signal': 2.3159, 'message': 'ok', 'error_signal': -0.0139}
1498575534.25 {'correction_signal': 2.3094, 'message': 'ok', 'error_signal': -0.0073}
1498575538.78 {'correction_signal': 2.308, 'message': 'ok', 'error_signal': 0.0017}
1498575543.31 {'correction_signal': 2.3081, 'message': 'ok', 'error_signal': 0.0064}
1498575547.85 {'correction_signal': 2.3022, 'message': 'ok', 'error_signal': -0.0116}
1498575552.39 {'correction_signal': 2.2981, 'message': 'ok', 'error_signal': 0.007}
1498575556.93 {'correction_signal': 2.2924, 'message': 'ok', 'error_signal': -0.0105}
1498575561.47 {'correction_signal': 2.2864, 'message': 'ok', 'error_signal': 0.0162}
1498575566.0 {'correction_signal': 2.2848, 'message': 'ok', 'error_signal': -0.0137}
1498575570.55 {'correction_signal': 2.2782, 'message': 'ok', 'error_signal': -0.0021}
1498575575.1 {'correction_signal': 2.2739, 'message': 'ok', 'error_signal': -0.0089}
1498575579.63 {'correction_signal': 2.276, 'message': 'ok', 'error_signal': 0.0085}
1498575584.17 {'correction_signal': 2.2653, 'message': 'ok', 'error_signal': -0.0105}
1498575588.69 {'correction_signal': 2.2649, 'message': 'ok', 'error_signal': 0.0098}
1498575593.23 {'correction_signal': 2.2632, 'message': 'ok', 'error_signal': 0.0163}
1498575597.76 {'correction_signal': 2.2619, 'message': 'ok', 'error_signal': -0.0079}
1498575602.3 {'correction_signal': 2.257, 'message': 'ok', 'error_signal': 0.0012}
1498575606.83 {'correction_signal': 2.2569, 'message': 'ok', 'error_signal': 0.0035}
1498575611.36 {'correction_signal': 2.2517, 'message': 'ok', 'error_signal': 0.0049}
1498575615.89 {'correction_signal': 2.2476, 'message': 'ok', 'error_signal': -0.0024}
1498575620.42 {'correction_signal': 2.2438, 'message': 'ok', 'error_signal': 0.0003}
1498575624.95 {'correction_signal': 2.2423, 'message': 'ok', 'error_signal': 0.0148}
1498575629.48 {'correction_signal': 2.2392, 'message': 'ok', 'error_signal': -0.0131}
1498575634.01 {'correction_signal': 2.233, 'message': 'ok', 'error_signal': 0.0017}
1498575638.55 {'correction_signal': 2.2283, 'message': 'ok', 'error_signal': 0.0114}
1498575643.09 {'correction_signal': 2.2278, 'message': 'ok', 'error_signal': 0.0027}
1498575647.62 {'correction_signal': 2.2235, 'message': 'ok', 'error_signal': 0.0023}
1498575652.15 {'correction_signal': 2.2241, 'message': 'ok', 'error_signal': 0.0146}
1498575656.68 {'correction_signal': 2.2187, 'message': 'ok', 'error_signal': 0.0099}
1498575661.22 {'correction_signal': 2.2122, 'message': 'ok', 'error_signal': -0.0049}
1498575665.74 {'correction_signal': 2.2107, 'message': 'ok', 'error_signal': -0.005}
1498575670.26 {'correction_signal': 2.2131, 'message': 'ok', 'error_signal': -0.0217}
1498575674.78 {'correction_signal': 2.2088, 'message': 'ok', 'error_signal': -0.0049}
1498575679.32 {'correction_signal': 2.2046, 'message': 'ok', 'error_signal': -0.002}
1498575683.84 {'correction_signal': 2.2007, 'message': 'ok', 'error_signal': 0.0041}
1498575688.37 {'correction_signal': 2.2011, 'message': 'ok', 'error_signal': 0.0107}
1498575692.91 {'correction_signal': 2.1988, 'message': 'ok', 'error_signal': -0.0142}
1498575697.45 {'correction_signal': 2.195, 'message': 'ok', 'error_signal': 0.0044}
1498575701.99 {'correction_signal': 2.193, 'message': 'ok', 'error_signal': 0.0012}
1498575706.52 {'correction_signal': 2.1884, 'message': 'ok', 'error_signal': -0.0023}
1498575711.05 {'correction_signal': 2.1848, 'message': 'ok', 'error_signal': 0.0005}
1498585927.06 {'correction_signal': 2.4923, 'message': 'ok', 'error_signal': -0.0056}
1498585932.89 {'correction_signal': 2.494, 'message': 'ok', 'error_signal': 0.0052}
1498585938.69 {'correction_signal': 2.4966, 'message': 'ok', 'error_signal': 0.0056}
1498585944.5 {'correction_signal': 2.4986, 'message': 'ok', 'error_signal': -0.0015}
1498585950.31 {'correction_signal': 2.4975, 'message': 'ok', 'error_signal': -0.0032}
1498585956.12 {'correction_signal': 2.4935, 'message': 'ok', 'error_signal': -0.0017}
1498585961.92 {'correction_signal': 2.4936, 'message': 'ok', 'error_signal': -0.0009}
1498585967.74 {'correction_signal': 2.4943, 'message': 'ok', 'error_signal': -0.011}
1498585973.55 {'correction_signal': 2.4943, 'message': 'ok', 'error_signal': 0.0005}
1498585979.36 {'correction_signal': 2.4918, 'message': 'ok', 'error_signal': 0.004}
1498585985.16 {'correction_signal': 2.4935, 'message': 'ok', 'error_signal': -0.0031}
1498585990.97 {'correction_signal': 2.4947, 'message': 'ok', 'error_signal': -0.0072}
1498585996.79 {'correction_signal': 2.494, 'message': 'ok', 'error_signal': -0.004}
1498586002.6 {'correction_signal': 2.4916, 'message': 'ok', 'error_signal': -0.0021}
1498586008.41 {'correction_signal': 2.4909, 'message': 'ok', 'error_signal': 0.0055}
1498586014.22 {'correction_signal': 2.4924, 'message': 'ok', 'error_signal': 0.0095}
1498586020.02 {'correction_signal': 2.4913, 'message': 'ok', 'error_signal': 0.0067}
1498586025.83 {'correction_signal': 2.4903, 'message': 'ok', 'error_signal': -0.004}
1498586031.65 {'correction_signal': 2.488, 'message': 'ok', 'error_signal': 0.005}
1498586037.44 {'correction_signal': 2.4888, 'message': 'ok', 'error_signal': -0.0026}
1498586043.27 {'correction_signal': 2.4891, 'message': 'ok', 'error_signal': -0.0002}
1498586049.07 {'correction_signal': 2.4843, 'message': 'ok', 'error_signal': -0.0058}
1498586054.88 {'correction_signal': 2.4829, 'message': 'ok', 'error_signal': -0.0006}
1498586060.69 {'correction_signal': 2.481, 'message': 'ok', 'error_signal': -0.004}
1498586066.49 {'correction_signal': 2.4809, 'message': 'ok', 'error_signal': -0.0018}
1498586072.3 {'correction_signal': 2.4777, 'message': 'ok', 'error_signal': 0.0049}
1498586078.11 {'correction_signal': 2.476, 'message': 'ok', 'error_signal': 0.0046}
1498586083.91 {'correction_signal': 2.4769, 'message': 'ok', 'error_signal': 0.0024}
1498586089.72 {'correction_signal': 2.4777, 'message': 'ok', 'error_signal': 0.0053}
1498586095.53 {'correction_signal': 2.4733, 'message': 'ok', 'error_signal': -0.0009}
1498586101.34 {'correction_signal': 2.4715, 'message': 'ok', 'error_signal': 0.0031}
1498586107.14 {'correction_signal': 2.4753, 'message': 'ok', 'error_signal': 0.0073}
1498586112.95 {'correction_signal': 2.4783, 'message': 'ok', 'error_signal': 0.0073}
1498586118.76 {'correction_signal': 2.4767, 'message': 'ok', 'error_signal': 0.0055}
1498586124.56 {'correction_signal': 2.4757, 'message': 'ok', 'error_signal': -0.0006}
1498586130.37 {'correction_signal': 2.4736, 'message': 'ok', 'error_signal': 0.0049}
1498586136.18 {'correction_signal': 2.4701, 'message': 'ok', 'error_signal': 0.0096}
