1498622402.04 {'correction_signal': 3.4234, 'message': 'ok', 'error_signal': -0.0049}
1498622407.88 {'correction_signal': 3.425, 'message': 'ok', 'error_signal': -0.0009}
1498622413.7 {'correction_signal': 3.4239, 'message': 'ok', 'error_signal': -0.0055}
1498622419.52 {'correction_signal': 3.4248, 'message': 'ok', 'error_signal': 0.0023}
1498622425.36 {'correction_signal': 3.4278, 'message': 'ok', 'error_signal': 0.0063}
1498622431.18 {'correction_signal': 3.424, 'message': 'ok', 'error_signal': 0.0002}
1498622437.02 {'correction_signal': 3.4244, 'message': 'ok', 'error_signal': -0.004}
1498622442.85 {'correction_signal': 3.423, 'message': 'ok', 'error_signal': 0.0011}
1498622448.68 {'correction_signal': 3.4197, 'message': 'ok', 'error_signal': 0.0}
1498622454.51 {'correction_signal': 3.4173, 'message': 'ok', 'error_signal': -0.0029}
1498622460.35 {'correction_signal': 3.4153, 'message': 'ok', 'error_signal': -0.0027}
1498622466.17 {'correction_signal': 3.4146, 'message': 'ok', 'error_signal': 0.0053}
1498622472.01 {'correction_signal': 3.4131, 'message': 'ok', 'error_signal': -0.0018}
1498622477.83 {'correction_signal': 3.4117, 'message': 'ok', 'error_signal': 0.0}
1498622483.67 {'correction_signal': 3.4111, 'message': 'ok', 'error_signal': 0.0009}
1498622489.49 {'correction_signal': 3.4072, 'message': 'ok', 'error_signal': -0.0067}
1498622495.33 {'correction_signal': 3.4049, 'message': 'ok', 'error_signal': -0.0073}
1498622501.15 {'correction_signal': 3.4009, 'message': 'ok', 'error_signal': 0.007}
1498622506.99 {'correction_signal': 3.3989, 'message': 'ok', 'error_signal': 0.0}
1498622512.82 {'correction_signal': 3.4004, 'message': 'ok', 'error_signal': 0.0063}
1498622518.65 {'correction_signal': 3.3961, 'message': 'ok', 'error_signal': -0.0027}
1498622524.48 {'correction_signal': 3.3989, 'message': 'ok', 'error_signal': 0.0024}
1498622530.3 {'correction_signal': 3.3923, 'message': 'ok', 'error_signal': 0.0011}
1498622536.14 {'correction_signal': 3.3935, 'message': 'ok', 'error_signal': -0.0075}
1498622541.96 {'correction_signal': 3.3879, 'message': 'ok', 'error_signal': 0.0006}
1498622547.8 {'correction_signal': 3.39, 'message': 'ok', 'error_signal': -0.0012}
1498622553.62 {'correction_signal': 3.3907, 'message': 'ok', 'error_signal': 0.0049}
1498622559.46 {'correction_signal': 3.3873, 'message': 'ok', 'error_signal': 0.002}
1498622565.29 {'correction_signal': 3.3835, 'message': 'ok', 'error_signal': 0.0018}
1498622571.12 {'correction_signal': 3.3844, 'message': 'ok', 'error_signal': -0.0046}
1498622576.95 {'correction_signal': 3.381, 'message': 'ok', 'error_signal': 0.0}
1498622582.79 {'correction_signal': 3.3807, 'message': 'ok', 'error_signal': 0.0043}
1498622588.61 {'correction_signal': 3.3782, 'message': 'ok', 'error_signal': 0.0023}
1498622594.43 {'correction_signal': 3.3783, 'message': 'ok', 'error_signal': 0.0011}
1498622600.27 {'correction_signal': 3.3756, 'message': 'ok', 'error_signal': 0.0024}
1498622606.09 {'correction_signal': 3.3773, 'message': 'ok', 'error_signal': -0.0011}
1498622611.93 {'correction_signal': 3.3775, 'message': 'ok', 'error_signal': -0.0027}
1498622617.76 {'correction_signal': 3.375, 'message': 'ok', 'error_signal': -0.0046}
1498622623.6 {'correction_signal': 3.3742, 'message': 'ok', 'error_signal': -0.0027}
1498622629.42 {'correction_signal': 3.3733, 'message': 'ok', 'error_signal': -0.0023}
1498622635.24 {'correction_signal': 3.3739, 'message': 'ok', 'error_signal': -0.0014}
1498622641.08 {'correction_signal': 3.3698, 'message': 'ok', 'error_signal': -0.0024}
1498622646.9 {'correction_signal': 3.3669, 'message': 'ok', 'error_signal': 0.0027}
1498622652.74 {'correction_signal': 3.3633, 'message': 'ok', 'error_signal': -0.0002}
1498622658.56 {'correction_signal': 3.3638, 'message': 'ok', 'error_signal': 0.0023}
1498622664.39 {'correction_signal': 3.3626, 'message': 'ok', 'error_signal': -0.0024}
1498622670.23 {'correction_signal': 3.3604, 'message': 'ok', 'error_signal': 0.0038}
1498622676.05 {'correction_signal': 3.3612, 'message': 'ok', 'error_signal': -0.0095}
1498622681.89 {'correction_signal': 3.3657, 'message': 'ok', 'error_signal': -0.0064}
1498622687.71 {'correction_signal': 3.3601, 'message': 'ok', 'error_signal': -0.0006}
1498622693.55 {'correction_signal': 3.3622, 'message': 'ok', 'error_signal': 0.006}
1498622699.37 {'correction_signal': 3.3625, 'message': 'ok', 'error_signal': 0.0041}
1498622705.21 {'correction_signal': 3.3569, 'message': 'ok', 'error_signal': 0.0063}
1498622711.04 {'correction_signal': 3.3556, 'message': 'ok', 'error_signal': 0.0027}
1498622716.86 {'correction_signal': 3.355, 'message': 'ok', 'error_signal': 0.002}
1498622722.7 {'correction_signal': 3.3503, 'message': 'ok', 'error_signal': 0.0003}
1498622728.52 {'correction_signal': 3.3481, 'message': 'ok', 'error_signal': -0.0034}
1498622734.36 {'correction_signal': 3.3493, 'message': 'ok', 'error_signal': -0.0053}
1498622740.18 {'correction_signal': 3.3499, 'message': 'ok', 'error_signal': -0.0049}
1498622746.02 {'correction_signal': 3.3488, 'message': 'ok', 'error_signal': -0.005}
1498622751.84 {'correction_signal': 3.3489, 'message': 'ok', 'error_signal': -0.0044}
1498622757.68 {'correction_signal': 3.3497, 'message': 'ok', 'error_signal': -0.002}
1498622763.51 {'correction_signal': 3.3485, 'message': 'ok', 'error_signal': 0.0055}
1498622769.34 {'correction_signal': 3.3525, 'message': 'ok', 'error_signal': -0.0018}
1498622775.17 {'correction_signal': 3.3521, 'message': 'ok', 'error_signal': -0.0006}
1498622780.99 {'correction_signal': 3.3572, 'message': 'ok', 'error_signal': -0.0003}
1498622786.83 {'correction_signal': 3.3535, 'message': 'ok', 'error_signal': 0.0021}
